PAIS,NIF,NOMBRE,AÑO,AYUDA EQUIVALENTE ACUMULADA TOTAL,AYUDA EQUIVALENTE DEL MRR,TIPO_ENTIDAD
ES,B21485966,KEMTECNIA TECNOLOGIA QUIMICA Y RENOV.SL,2024,16347293.8,16347293.8,Sociedad de Responsabilidad Limitada (S.L.)
ES,A56225063,ALTACUS INVESTMENTS SA,2024,16056751.3,16056751.3,Sociedad Anónima (S.A.)
ES,B09318916,ACADEMIA TECNICA UNIVERSITARIA SL,2024,15682900.63,6359458.09,Sociedad de Responsabilidad Limitada (S.L.)
ES,A50002567,SA INDUSTRIAS CELULOSA ARAGONESA,2024,15294761.51,0.0,Sociedad Anónima (S.A.)
ES,A38017851,VIVIENDAS SOCIALES E INFRAESTRUCTURAS DE CANARIAS,2024,15000000.0,0.0,Sociedad Anónima (S.A.)
ES,B09641523,HIVE WIND ENERGY SL,2024,15000000.0,15000000.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B71481493,ACCIONAPLUG VALLE H2V NAVARRA SLU,2024,15000000.0,15000000.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A82528548,XFERA MOVILES SA,2024,14713864.78,14713864.78,Sociedad Anónima (S.A.)
ES,A28814135,COBRE LAS CRUCES SA,2024,14549643.0,0.0,Sociedad Anónima (S.A.)
ES,B87016283,"SAINT GOBAIN ISOVER IBERICA, S.L.",2024,14150329.25,13266207.35,Sociedad de Responsabilidad Limitada (S.L.)
ES,B82918814,FRIMAR PANADEROS SL,2024,13920004.59,12792778.34,Sociedad de Responsabilidad Limitada (S.L.)
ES,A20306775,VIVIENDA Y SUELO DE EUSKADI SA-EUSKADIKO ETXEBIZIT,2024,13905359.31,13780253.51,Sociedad Anónima (S.A.)
ES,B59559351,"COMPAñIA ESPAñOLA DE LAMINACION, SL",2024,13337752.51,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B44914141,"DREAMLAND STUDIOS CANARIAS, S.L.",2024,13177496.88,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A09033119,ADE CAPITAL SODICAL S.C.R. SA,2024,13100000.0,0.0,Sociedad Anónima (S.A.)
ES,A22003644,FOMENTO Y DESARROLLO VALLE BENASQUE SA,2024,12910765.97,299047.22,Sociedad Anónima (S.A.)
ES,B36993509,G12 GRUPO EMPRESARIAL DE SERVICIOS SL,2024,12895223.7,9814940.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B71470686,NORDEX ELECTROLYZERS SL,2024,12844116.69,12844116.69,Sociedad de Responsabilidad Limitada (S.L.)
ES,A85255370,GRUPO FERROATLÁNTICA S.A.U.,2024,12648804.4,11790371.0,Sociedad Anónima (S.A.)
ES,B02893832,EBRO ECOPOWER AUTOMOTIVE SYSTEMS S.L.,2024,12318547.5,12318547.5,Sociedad de Responsabilidad Limitada (S.L.)
ES,A79449302,ILUNION CEE LIMPIEZA Y MEDIOAMBIENTE SA,2024,11956448.04,0.0,Sociedad Anónima (S.A.)
ES,A80420516,FERROATLANTICA SA,2024,11921911.6,8666693.0,Sociedad Anónima (S.A.)
ES,A56362072,CIRILLA INVESTMENTS SA,2024,11898807.4,11898807.4,Sociedad Anónima (S.A.)
ES,B54347265,SUBUS GRUPO DE TRANSPORTE SLU,2024,11702570.17,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B16724460,"PLALYSO, SOCIEDAD LIMITADA",2024,11603200.0,11600000.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B56244031,"FIELD IBERIA BESS 2, S.L.",2024,11538564.85,11538564.85,Sociedad de Responsabilidad Limitada (S.L.)
ES,A88380035,HITACHI ENERGY SPAIN SAU,2024,11507319.17,0.0,Sociedad Anónima (S.A.)
ES,A35955798,PROMOCION EXTERIOR DE LANZAROTE SA,2024,11401884.39,91884.39,Sociedad Anónima (S.A.)
ES,B72898448,SOLATOM SPV SERVICIOS ENERGETICOS SL,2024,11270452.95,11270452.95,Sociedad de Responsabilidad Limitada (S.L.)
ES,B85771269,CEMEX ESPAñA OPERACIONES S.L.U,2024,11196503.2,10868326.5,Sociedad de Responsabilidad Limitada (S.L.)
ES,A60462926,CAPTRAIN ESPAÑA S.A.U.,2024,11102450.62,11102450.62,Sociedad Anónima (S.A.)
ES,A34277434,"GRUPO EASYCHARGER, S.A.",2024,11070367.76,11070367.76,Sociedad Anónima (S.A.)
ES,B36338051,FEMXA FORMACION SL,2024,10950326.4,8788836.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B81927709,MECANIZADOS ESCRIBANO SL,2024,10941890.29,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B16784225,"KAMINOAN, S.L.",2024,10933442.16,10933442.16,Sociedad de Responsabilidad Limitada (S.L.)
ES,A08031544,"ALIER, SA",2024,10777391.08,9887500.0,Sociedad Anónima (S.A.)
ES,B24629362,C D R CARRION SL,2024,10690668.0,10690668.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A31257868,TALLERES AUXILIARES DE SUBCONTRATACION DE LA  NDUS,2024,10629880.92,0.0,Sociedad Anónima (S.A.)
ES,A66098435,"AIGUES BARCELONA,E.M.GESTIO INT.AIGUA,SA",2024,10619404.97,0.0,Sociedad Anónima (S.A.)
ES,A80974413,ROBERT BOSCH ESPAñA FABRICA TRETO S.A,2024,10599992.48,9525544.6,Sociedad Anónima (S.A.)
ES,B88645338,REAL ESTATE ADI SOCIEDAD LIMITADA,2024,10370000.0,10370000.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A04117297,"COSENTINO, SA",2024,10329802.45,10000800.0,Sociedad Anónima (S.A.)
ES,B72753502,AMARE BEACH HOTEL SANCTI PETRI,2024,10280743.6,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B47638929,SOC.MIXTA PARA LA PROMOCION DEL TURISMO,2024,10175255.0,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A86488087,CANAL DE ISABEL II SA,2024,9997039.79,9997039.79,Sociedad Anónima (S.A.)
ES,B56180755,"NEXT CHEMICALS IPA, S.L",2024,9976640.1,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A31118441,SERVICIOS DE LA COMARCA DE PAMPLONA SA,2024,9972032.04,9972032.04,Sociedad Anónima (S.A.)
ES,B82875055,AIRBUS OPERATIONS SL,2024,9860509.66,9800509.66,Sociedad de Responsabilidad Limitada (S.L.)
ES,A08000630,"ERCROS, SA",2024,9828858.41,3224.51,Sociedad Anónima (S.A.)
ES,A08661647,LA FARGA LACAMBRA SAU,2024,9794232.75,8632717.05,Sociedad Anónima (S.A.)
ES,A08663619,CAIXABANK SA,2024,9777901.8,0.0,Sociedad Anónima (S.A.)
ES,A41092032,EMPRESA MANCOMUNADA DEL ALJARAFE SA,2024,9772573.84,9772573.84,Sociedad Anónima (S.A.)
ES,B44616811,TUYA POWER SL,2024,9760000.0,9760000.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B10838365,ARMENBAT 2022,2024,9532965.64,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B80771868,ILUNION SERVICIOS INDUSTRIALES ZONA CENT,2024,9525116.26,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A41039496,EMPRESA METROPOLITANA ABAS SANEA A S SA,2024,9513377.44,9513377.44,Sociedad Anónima (S.A.)
ES,B02803195,"DAIMDON, S.L.",2024,9471824.64,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B02785855,REFIT & REPAIR VALENCIA S.L.,2024,9424131.4,9424131.4,Sociedad de Responsabilidad Limitada (S.L.)
ES,A82018474,TELEFONICA DE ESPAÑA SA,2024,9253554.03,9253554.03,Sociedad Anónima (S.A.)
ES,B50005701,SOCIEDAD MUNICIPAL ZARAGOZA VIVIENDA SL,2024,9251591.47,9251591.47,Sociedad de Responsabilidad Limitada (S.L.)
ES,A14076442,EMPRESA PROVINCIAL DE AGUAS DE CORDOBA SA,2024,9208292.27,9098644.98,Sociedad Anónima (S.A.)
ES,B90328592,"FURATENA SOLAR 1, S.L.",2024,9194460.4,9194460.4,Sociedad de Responsabilidad Limitada (S.L.)
ES,B67775890,ARETE MACENAS HOTELES S.L.,2024,9193375.0,18882.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A28135846,B P OIL ESPAÑA SA,2024,9184541.3,5933621.44,Sociedad Anónima (S.A.)
ES,A48885669,"SOCIEDAD DE GESTION URBANISTICA ERETZA, SA",2024,9096494.45,9096494.45,Sociedad Anónima (S.A.)
ES,B72764947,TACIOS ENERGY SLU,2024,9088615.66,9088615.66,Sociedad de Responsabilidad Limitada (S.L.)
ES,B82992744,INTEGRA MANTENIMIENTO GESTION Y SERVICIO,2024,8968904.28,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A31660301,GESTAMP NAVARRA SA,2024,8956357.31,8956357.31,Sociedad Anónima (S.A.)
ES,A38615191,"GEST. INS. DEPORTE, CULTURA Y OCIO SA U.",2024,8955976.19,543962.08,Sociedad Anónima (S.A.)
ES,A84076397,NAVANTIA SA,2024,8915239.93,8777861.9,Sociedad Anónima (S.A.)
ES,B41610825,PROAZIMUT SL,2024,8893843.75,38702.7,Sociedad de Responsabilidad Limitada (S.L.)
ES,B16722860,EBRO URBAN VANS MOBILITY S.L.,2024,8831978.5,8831978.5,Sociedad de Responsabilidad Limitada (S.L.)
ES,B20435301,ARCELORMITTAL GIPUZKOA SL,2024,8824452.39,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A70942289,ARGANDA RESIDENTIAL LEASEHOLD SA,2024,8807933.0,8807933.0,Sociedad Anónima (S.A.)
ES,F04011375,SDAD COOP ANDALUZA VICASOL,2024,8776424.22,0.0,Sociedades Cooperativas
ES,A56925266,LYSISTRATA INVESTMENTS SA,2024,8721593.8,8721593.8,Sociedad Anónima (S.A.)
ES,A38543252,AUDITORIO DE TENERIFE SA UNIPERSONAL,2024,8688926.35,0.0,Sociedad Anónima (S.A.)
ES,A86327632,ACERINOX EUROPA SA,2024,8680537.74,0.0,Sociedad Anónima (S.A.)
ES,A29185519,EMPRESA MUNICIPAL DE AGUAS DE MALAGA SA,2024,8634532.09,8522297.14,Sociedad Anónima (S.A.)
ES,B86714557,BLUE DOLPHIN ALCAIDESA S.L.U.,2024,8610141.33,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A63222533,UNION FENOSA DISTRIBUCION SA,2024,8567770.27,8567770.27,Sociedad Anónima (S.A.)
ES,A48255863,GESTAMP BIZKAIA SA,2024,8448354.63,8448354.63,Sociedad Anónima (S.A.)
ES,A30625628,TRANSPORTES URBANOS DE CARTAGENA SA,2024,8368618.49,0.0,Sociedad Anónima (S.A.)
ES,B85647634,CORPORACION ACCIONA EOLICA SLU,2024,8350000.0,8350000.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A81861122,CEPSA QUIMICA SA,2024,8311566.93,0.0,Sociedad Anónima (S.A.)
ES,B10943249,"JV20 FOREST, S.L",2024,8283643.3,45000.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A74314980,CEMENTOS TUDELA VEGUIN SA,2024,8237240.84,7495398.4,Sociedad Anónima (S.A.)
ES,A30423073,"ALVINESA ALCOHOLERA VINICOLA, SA",2024,8124733.82,0.0,Sociedad Anónima (S.A.)
ES,A86868189,RENFE VIAJEROS SME SA,2024,8067483.39,0.0,Sociedad Anónima (S.A.)
ES,B99446148,AVIATION INTERNATIONAL RECYCLING SL,2024,8037367.5,7876440.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B56152721,AGD LOGISTIC SOLUTIONS S.L.,2024,7971040.08,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B29888716,"EUROCONSULTORIA FORMACION-EMPRESA, SL",2024,7957458.45,5056117.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A48053243,PETROLEOS DEL NORTE SA,2024,7731179.04,0.0,Sociedad Anónima (S.A.)
ES,F04532339,"MURGIVERDE,S. COOP. AND. 2º GRADO",2024,7693959.1,0.0,Sociedades Cooperativas
ES,B46066361,FORD ESPAÑA SL,2024,7690623.31,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,F38008579,GRUPO REGIONAL DE COOP PLATANERAS DEL ARCHIPIELAGO,2024,7675836.91,0.0,Sociedades Cooperativas
ES,B55431498,SKYDWELLER CANARIAS SOCIEDAD LIMITADA,2024,7668749.99,7668749.99,Sociedad de Responsabilidad Limitada (S.L.)
ES,B88482070,"FRV ARROYADAS 2, S.L.",2024,7619293.98,7619293.98,Sociedad de Responsabilidad Limitada (S.L.)
ES,F32001976,COOP OURENSANAS S COOP GALEGA,2024,7591130.9,0.0,Sociedades Cooperativas
ES,B35062926,TRANSPORTES ANTONIO DIAZ HERNANDEZ SL,2024,7581751.73,168000.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B35082528,ARRECIFE BUS SL,2024,7484616.97,1400000.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B73366247,INNOVACION Y OPORTUNIDAD EMPRESARIAL SL,2024,7453405.35,6829797.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A26362145,LOGROÑO DEPORTE SA,2024,7400000.0,0.0,Sociedad Anónima (S.A.)
ES,A81473852,BUNGE IBERICA SA,2024,7306468.91,7293910.91,Sociedad Anónima (S.A.)
ES,A04107272,"GESTION DE AGUAS DEL LEVANTE ALMERIENSE, SA",2024,7281798.59,7281798.59,Sociedad Anónima (S.A.)
ES,B09511171,MARIA ANGELES ALONSO DE LA FUENTE SL,2024,7196001.03,3642827.41,Sociedad de Responsabilidad Limitada (S.L.)
ES,B75218040,MULTIVERSE COMPUTING SL,2024,7194576.94,7169225.2,Sociedad de Responsabilidad Limitada (S.L.)
ES,B72624737,"TULEAP, S.L.",2024,7064348.4,7064348.4,Sociedad de Responsabilidad Limitada (S.L.)
ES,A18010975,UNION COMERCIAL GRANADINA SA,2024,7050888.68,0.0,Sociedad Anónima (S.A.)
ES,A33013202,CEMENTOS ESPECIALES DE LAS ISLAS SA,2024,7028627.04,0.0,Sociedad Anónima (S.A.)
ES,B13835749,"HIGH INNOVATION ARRENDAMIENTO DE VIVIENDA, S.L.U",2024,6988544.0,6988544.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B87993622,"INFOSER NEW TECHNOLOGIES, S.L.",2024,6958241.83,6589393.33,Sociedad de Responsabilidad Limitada (S.L.)
ES,A50024850,ESTACION INVERNAL DEL VALLE DE ASTUN SA,2024,6945547.75,0.0,Sociedad Anónima (S.A.)
ES,B72392160,"ACUICULTURA CADIZ EME450.1, S.L.",2024,6880208.59,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A48164339,BILBOKO BERREGOKIPENERAKO HIRIGINTZA ELKARTEA SA SOCIEDAD URBANISTICA DE REHABILITACION DE BILBAO SA,2024,6840714.86,6840714.86,Sociedad Anónima (S.A.)
ES,B01287440,"ESCUELA SUP. NEGOCIOS Y TECNOLOG.,SL",2024,6817122.0,6817122.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A70851357,"AVG CAPITAL MANAGEMENT 10, S.A.",2024,6802846.4,6802846.4,Sociedad Anónima (S.A.)
ES,B72777212,"MERAK STORAGE 2, S.L.",2024,6729002.66,6729002.66,Sociedad de Responsabilidad Limitada (S.L.)
ES,A28016814,A L AIR LIQUIDE ESPAñA SA,2024,6541046.67,6444278.23,Sociedad Anónima (S.A.)
ES,A33591611,"HIDROCANTABRICO DISTRIBUCION ELECTRIC,SA",2024,6516830.0,6516830.0,Sociedad Anónima (S.A.)
ES,A20026480,EXPLOTACIONES TURISTICAS DE CANDANCHU SA,2024,6511332.39,0.0,Sociedad Anónima (S.A.)
ES,A07004021,BANCA MARCH SA,2024,6505802.75,0.0,Sociedad Anónima (S.A.)
ES,B88131537,PHI 4 TECHNOLOGY SL,2024,6498343.1,12000.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A58158361,"ESSA PALAU, SA",2024,6474918.62,6474918.62,Sociedad Anónima (S.A.)
ES,A07000029,"EMAYA, EMPRESA MUNICIPAL D'AIGUES I CLAVEGUERAM, S",2024,6454728.88,6454728.88,Sociedad Anónima (S.A.)
ES,A50004126,ARCELORMITTAL ZARAGOZA SA,2024,6451651.76,0.0,Sociedad Anónima (S.A.)
ES,A07284375,HEREDEROS DE FRANCISCO VILAS SA,2024,6389715.25,1256035.2,Sociedad Anónima (S.A.)
ES,B87466595,INTERNATIONAL PAPER MADRID MILL SLU,2024,6384181.62,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A31430028,GESTAMP ABRERA SA,2024,6332158.25,6332158.25,Sociedad Anónima (S.A.)
ES,A70825534,"CAMESA VELILLA, S.A.",2024,6275388.0,6275388.0,Sociedad Anónima (S.A.)
ES,A50945914,CALVERA HYDROGEN SA,2024,6171031.08,6168026.3,Sociedad Anónima (S.A.)
ES,B65435117,FICOSA ELECTRONICS S.L.U.,2024,6161066.37,5492902.64,Sociedad de Responsabilidad Limitada (S.L.)
ES,A58869389,ALMIRALL SA,2024,6116879.67,3411148.76,Sociedad Anónima (S.A.)
ES,B67447532,"HOTEL GUADALMINA BAJA, S.L.U.",2024,6116822.32,176085.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A30054209,EMPRESA MUNICIPAL DE AGUAS Y SANEAMIENTO DE MURCIA,2024,6098372.68,6098372.68,Sociedad Anónima (S.A.)
ES,A53293213,BALEARIA EUROLINEAS MARITIMAS SA,2024,6059614.21,164038.1,Sociedad Anónima (S.A.)
ES,F38016671,TRANSPORTES INSULAR DE LA PALMA SDAD COOP,2024,6031087.54,193000.0,Sociedades Cooperativas
ES,B02111466,"BANCOLOR, SL",2024,5998069.0,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,A82104001,IBERENOVA PROMOCIONES SA,2024,5977908.95,5977908.95,Sociedad Anónima (S.A.)
ES,B85146363,"NEX CONTINENTAL HOLDINGS, SL",2024,5956551.84,40045.4,Sociedad de Responsabilidad Limitada (S.L.)
ES,B85663359,"INTERNETSIA, S.L.",2024,5850000.0,5850000.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B73279994,INICIATIVAS ORGANIZATIVAS DE EMPRESA SL,2024,5848981.52,5086915.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B86774528,"ACCIONA AGUA SERVICIOS, S.L.U.",2024,5806900.13,5806900.13,Sociedad de Responsabilidad Limitada (S.L.)
ES,A17031246,PATRONAT DE TURISME COSTA BRAVA GIRONA SA,2024,5729000.0,0.0,Sociedad Anónima (S.A.)
ES,B12867420,TECNOLOGIA DE GASIFICACION SL.,2024,5718642.5,5510660.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B04998993,NATURAL MOVEMENT SL,2024,5685234.63,5682734.63,Sociedad de Responsabilidad Limitada (S.L.)
ES,A06162366,A.G.SIDERURGICA BALBOA SA,2024,5680515.52,634.32,Sociedad Anónima (S.A.)
ES,B48565469,"PAPRESA, S.L.",2024,5672663.89,1502354.25,Sociedad de Responsabilidad Limitada (S.L.)
ES,F04001152,COOP PROV AGRARIA GANAD S ISIDRO SDAD CA,2024,5650575.67,0.0,Sociedades Cooperativas
ES,B82999673,CORE NETWORKS SL,2024,5508592.86,2983189.8,Sociedad de Responsabilidad Limitada (S.L.)
ES,A54585351,PAYLOAD AEROSPACE SA,2024,5497940.93,731978.0,Sociedad Anónima (S.A.)
ES,A12000022,SOCIEDAD FOMENTO AGRICOLA CASTELLONENSE SA,2024,5497173.75,5000860.56,Sociedad Anónima (S.A.)
ES,A20214011,SERVICIOS DE TXINGUDI - TXINGUDIKO ZERBITZUAK SA,2024,5478647.49,5478647.49,Sociedad Anónima (S.A.)
ES,F73470015,ALIMENTOS DEL MEDITERRANEO S.COOP.,2024,5475185.08,0.0,Sociedades Cooperativas
ES,B01825173,PITIUSA SOLAR HOLDING 1  SL,2024,5434161.6,5434161.6,Sociedad de Responsabilidad Limitada (S.L.)
ES,A82682030,CONTINENTAL RAIL S.A.,2024,5414171.18,5414171.18,Sociedad Anónima (S.A.)
ES,A08004871,NISSAN MOTOR IBERICA SA,2024,5411277.15,4196418.42,Sociedad Anónima (S.A.)
ES,B10669653,FRAGONIA POWER,2024,5411028.14,5411028.14,Sociedad de Responsabilidad Limitada (S.L.)
ES,B91115196,EDP RENOVABLES ESPAñA SL,2024,5398940.58,5398940.58,Sociedad de Responsabilidad Limitada (S.L.)
ES,A60621166,GESTAMP LEVANTE SA,2024,5361342.9,5211342.9,Sociedad Anónima (S.A.)
ES,A28138873,REPSOL EXPLORACION SA,2024,5357500.0,5357500.0,Sociedad Anónima (S.A.)
ES,F48481923,AGINTZARI S COOP DE INICIATIVA SOCIAL D,2024,5356898.54,5179300.0,Sociedades Cooperativas
ES,A53223764,HIDRAQUA GESTION INTEGR AGUAS LEVANTE SA,2024,5342393.23,5036947.1,Sociedad Anónima (S.A.)
ES,A28599033,INDRA SISTEMAS SA,2024,5330832.4,5242126.0,Sociedad Anónima (S.A.)
ES,B87797361,CARGACOCHES S.L.,2024,5326841.39,5326841.39,Sociedad de Responsabilidad Limitada (S.L.)
ES,A86098118,ILUNION CEE OUTSOURCING SA,2024,5325075.7,0.0,Sociedad Anónima (S.A.)
ES,B10669661,"GALBANO POWER, S.L.",2024,5320000.0,5320000.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B72556111,"A-WARE ASTURIAS, S.L.U.",2024,5293204.25,0.0,Sociedad de Responsabilidad Limitada (S.L.)
ES,B03971512,ACTECO PRODUCTOS Y SERVICIOS SL,2024,5280864.07,2424601.35,Sociedad de Responsabilidad Limitada (S.L.)
ES,B87170924,ACCIONA GLOBAL RENEWABLES SLU,2024,5258488.0,5258488.0,Sociedad de Responsabilidad Limitada (S.L.)
